Canton (-) / District (>>) / Commune (......);Nationalit? - Total;Suisse;Albanie;Allemagne;France;Royaume-Uni;Italie;Autriche;Portugal;Espagne;Turquie;Kosovo
......0298 Wiesendangen;6123;5620;0;199;2;2;90;26;11;8;9;5
>> Bezirk Dietikon;86826;57283;30;3949;265;255;4862;729;3818;1019;1557;2369
......0241 Aesch (ZH);1184;1003;0;88;7;7;8;10;4;7;0;0
......0242 Birmensdorf (ZH);6194;4768;0;431;35;69;135;51;134;30;24;42
......0243 Dietikon;26277;14943;22;1112;104;51;2026;221;1187;336;907;1160
......0244 Geroldswil;4831;3644;0;182;12;1;193;48;110;52;41;103
......0245 Oberengstringen;6551;4531;0;334;13;15;280;74;299;87;116;68
......0246 Oetwil an der Limmat;2309;1941;0;123;3;7;55;11;25;11;14;11
......0247 Schlieren;17905;9688;4;724;51;32;1384;147;1608;333;274;699
......0248 Uitikon;3962;3361;0;232;10;31;66;39;13;20;1;9
......0249 Unterengstringen;3569;2735;3;152;3;18;134;33;47;26;49;48
......0250 Urdorf;9630;7455;0;412;21;11;370;76;253;81;71;135
......0251 Weiningen (ZH);4414;3214;1;159;6;13;211;19;138;36;60;94
>> Bezirk Z?rich;391359;266536;58;32003;3607;3259;13797;4488;8495;5823;3571;2569
......0261 Z?rich;391359;266536;58;32003;3607;3259;13797;4488;8495;5823;3571;2569
- Bern / Berne;1009418;857915;150;27413;4360;1655;20250;2874;14046;7156;5550;8012
>> Arrondissement administratif Jura bernois;53318;44029;9;228;1313;59;1911;18;2367;806;151;239
......0431 Corg?mont;1650;1417;0;6;61;2;52;0;19;15;11;8
......0432 Cormoret;494;459;0;6;2;1;5;0;9;5;0;0
......0433 Cort?bert;717;614;0;5;14;6;26;0;10;7;1;8
......0434 Courtelary;1353;1153;0;9;40;0;39;0;28;10;3;14
......0435 La Ferri?re;546;509;0;0;9;0;10;1;8;3;0;0
......0436 La Heutte;498;452;0;4;6;0;10;0;10;4;1;0
......0437 Mont-Tramelan;114;112;0;1;1;0;0;0;0;0;0;0
......0438 Orvin;1194;1065;0;14;38;3;14;0;11;4;0;8
......0439 P?ry;1381;1180;0;16;23;0;42;0;37;25;0;0
......0441 Renan (BE);854;773;0;19;15;5;6;0;9;9;0;1
......0442 Romont (BE);203;180;0;2;5;0;9;0;0;0;0;0
......0443 Saint-Imier;5083;3660;2;15;186;6;249;1;456;83;24;62
......0444 Sonceboz-Sombeval;1917;1593;0;13;76;0;114;1;24;25;1;1
......0445 Sonvilier;1238;1095;0;4;28;0;40;0;21;8;0;0
......0446 Tramelan;4390;3738;1;7;72;1;87;4;238;42;5;3
......0448 Villeret;917;804;0;3;27;1;10;0;24;11;1;1
......0449 Sauge;828;702;1;9;14;0;5;0;17;7;2;4
......0681 Belprahon;311;298;0;0;6;0;2;0;3;0;0;0
......0682 B?vilard;1741;1405;0;2;27;1;113;0;76;54;2;7
......0683 Champoz;154;154;0;0;0;0;0;0;0;0;0;0
......0684 Ch?telat;100;96;0;0;2;0;1;0;1;0;0;0
......0687 Corcelles (BE);215;200;0;0;7;0;1;0;0;2;0;0
......0690 Court;1432;1296;0;2;31;0;25;0;34;10;0;1
......0691 Cr?mines;550;496;0;1;11;0;12;0;9;10;0;1
......0692 Eschert;359;305;0;0;7;0;19;1;14;0;0;0
......0694 Grandval;373;346;0;0;5;1;7;0;5;0;0;0
......0696 Loveresse;335;313;0;1;5;0;4;1;1;1;0;0
......0697 Malleray;1999;1575;0;4;46;0;103;0;137;39;6;13
......0699 Monible;35;34;0;1;0;0;0;0;0;0;0;0
......0700 Moutier;7629;5594;0;14;193;2;393;2;627;192;44;80
......0701 Perrefitte;434;365;0;1;11;0;19;0;22;7;0;0
......0702 Pontenet;222;209;0;0;3;0;4;0;1;4;0;0
......0703 Reconvilier;2329;1871;5;10;57;4;103;0;76;54;15;2
......0704 Roches (BE);211;185;0;1;4;0;5;0;7;0;0;0
......0706 Saicourt;605;578;0;1;7;0;4;1;7;2;0;0
......0707 Saules (BE);162;160;0;0;0;0;0;0;2;0;0;0
......0708 Schelten;40;39;0;1;0;0;0;0;0;0;0;0
......0709 Seehof;68;67;0;0;0;0;0;0;0;0;0;0
......0710 Sornetan;140;132;0;1;4;0;0;0;0;1;0;0
......0711 Sorvilier;265;239;0;0;8;0;7;0;8;1;0;0
......0712 Souboz;132;114;0;1;10;0;0;1;0;5;0;0
......0713 Tavannes;3572;2784;0;14;72;4;203;0;202;85;31;9
......0715 Reb?velier;44;43;0;0;0;0;0;0;0;0;0;0
......0723 La Neuveville;3682;3045;0;19;122;8;147;0;161;73;4;16
......0724 Nods;741;691;0;4;14;6;4;0;11;0;0;0
......0726 Plateau de Diesse;2061;1889;0;17;44;8;17;5;42;8;0;0
>> Verwaltungskreis Biel/Bienne;97928;74043;33;2202;1156;99;4340;300;1982;1282;1194;1310
......0371 Biel/Bienne;53667;36929;23;1097;900;64;3345;171;1530;1049;884;844
......0372 Evilard;2519;2227;0;98;48;5;28;5;16;8;0;0
......0387 Lengnau (BE);4848;3819;2;128;22;3;119;21;48;23;72;77
......0390 Meinisberg;1342;1193;0;47;3;1;16;1;0;4;6;5
......0392 Pieterlen;3971;2965;0;133;39;2;135;15;100;28;18;95
......0731 Aegerten;1876;1584;0;26;6;1;37;2;36;10;1;39
......0732 Bellmund;1598;1501;0;33;5;1;28;4;0;6;4;0
......0733 Br?gg;4230;3372;2;70;18;2;122;10;55;18;23;56
......0739 Ipsach;4015;3549;0;102;28;6;68;16;21;16;9;25
......0740 Ligerz;542;504;0;18;3;0;11;0;0;0;0;0
......0742 M?rigen;846;802;0;22;1;1;3;1;0;5;0;0
......0743 Nidau;6894;5254;5;170;45;7;192;19;88;64;144;123
......0744 Orpund;2639;2211;1;84;11;2;79;12;32;13;14;17
......0745 Port;3379;2970;0;71;13;3;87;11;23;14;15;11
......0746 Safnern;1911;1766;0;38;3;0;40;3;5;6;1;0
......0747 Scheuren;468;458;0;5;0;0;3;0;1;0;0;0
......0748 Schwadernau;654;611;0;11;2;1;5;0;1;0;3;0
......0750 Sutz-Lattrigen;1410;1324;0;21;0;0;15;3;5;10;0;12
......0756 Twann-T?scherz;1119;1004;0;28;9;0;7;6;21;8;0;6
>> Verwaltungskreis Seeland;71126;62943;2;1761;156;50;919;171;1431;374;321;361
......0301 Aarberg;4422;3927;0;90;3;4;56;13;66;7;34;22
......0302 Bargen (BE);982;880;0;21;0;1;6;2;24;8;0;0
......0303 Grossaffoltern;2948;2786;0;61;5;2;11;11;7;3;1;4
......0304 Kallnach;1951;1776;0;62;1;0;2;5;16;4;0;24
......0305 Kappelen;1338;1226;0;27;0;1;7;1;14;6;2;1
......0306 Lyss;14183;11804;1;355;9;5;393;47;335;188;191;126
......0309 Radelfingen;1219;1156;0;36;0;2;3;0;1;1;1;0
......0310 Rapperswil (BE);2420;2295;0;29;10;0;16;4;6;8;0;4
......0311 Sch?pfen;3680;3437;0;85;2;5;46;5;1;16;2;11
......0312 Seedorf (BE);2968;2793;0;68;1;0;14;8;7;3;1;0
......0381 Arch;1531;1425;0;51;4;0;8;3;4;6;4;1
......0382 B?etigen;819;774;0;20;3;0;4;1;3;6;0;0
