Canton (-) / District (>>) / Commune (......);Nationalit? - Total;Suisse;Albanie;Allemagne;France;Royaume-Uni;Italie;Autriche;Portugal;Espagne;Turquie;Kosovo
>> District de la Broye;30035;24741;1;104;847;27;345;12;2172;249;20;451
......2004 Bussy (FR);445;360;0;3;15;1;2;0;36;1;1;3
......2005 Ch?bles;733;638;0;10;36;2;11;0;9;2;0;0
......2008 Ch?tillon (FR);442;416;0;1;9;1;5;1;0;1;0;0
......2009 Cheiry;392;355;0;2;10;0;4;0;10;7;0;0
......2010 Cheyres;1373;1207;0;7;54;0;11;1;45;7;0;2
......2011 Cugy (FR);1640;1400;0;2;38;2;26;1;109;7;0;12
......2013 Domdidier;2948;2318;1;7;58;3;23;1;328;21;8;83
......2014 Dompierre (FR);994;715;0;5;29;0;9;0;139;6;0;18
......2015 Estavayer-le-Lac;6134;4448;0;22;201;1;89;1;684;106;4;225
......2016 F?tigny;931;801;0;1;17;0;16;1;56;7;0;4
......2022 Gletterens;957;831;0;4;24;0;7;0;45;5;0;12
......2024 L?chelles;751;618;0;1;25;2;8;0;50;6;0;3
......2025 Lully (FR);1076;913;0;4;30;4;19;1;44;16;0;23
......2027 M?ni?res;378;326;0;0;10;0;4;0;22;3;4;0
......2029 Montagny (FR);2274;2014;0;8;50;5;15;2;118;8;1;12
......2033 Morens (FR);158;139;0;0;0;0;0;0;11;1;0;1
......2034 Murist;604;553;0;3;14;0;4;1;13;2;1;0
......2035 Nuvilly;398;364;0;0;4;0;3;0;10;1;0;0
......2038 Pr?vondavaux;61;57;0;0;1;0;1;0;2;0;0;0
......2039 Rueyres-les-Pr?s;423;369;0;0;3;0;6;0;20;3;0;17
......2040 Russy;221;213;0;1;5;0;0;0;1;0;0;0
......2041 Saint-Aubin (FR);1596;1267;0;5;46;2;10;0;169;10;0;25
......2043 S?vaz;250;195;0;0;6;0;1;0;29;4;0;9
......2044 Surpierre;332;303;0;0;9;2;2;0;8;4;0;0
......2045 Vallon;390;340;0;0;6;0;4;0;29;2;0;0
......2047 Villeneuve (FR);372;309;0;0;4;0;5;0;42;2;0;0
......2049 Vuissens;253;205;0;1;13;0;3;0;17;3;0;0
......2050 Les Montets;1404;1176;0;6;48;2;38;1;73;7;1;0
......2051 Delley-Portalban;1038;913;0;7;42;0;11;1;33;6;0;2
......2052 Vernay;1067;978;0;4;40;0;8;0;20;1;0;0
>> District de la Gl?ne;22917;18795;1;53;524;28;158;2;2055;117;66;197
......2061 Auboranges;283;249;0;1;17;0;8;0;6;1;0;0
......2063 Billens-Hennens;684;596;0;0;6;0;0;0;48;8;0;0
......2066 Chapelle (Gl?ne);262;237;0;0;17;1;1;0;4;0;0;0
......2067 Le Ch?telard;373;355;0;0;2;1;0;0;3;2;0;0
......2068 Ch?tonnaye;760;685;0;1;7;0;0;0;31;3;0;1
......2072 Ecublens (FR);318;288;0;2;6;1;3;0;6;6;0;0
......2079 Grangettes;198;176;0;0;10;1;1;0;6;1;0;0
......2086 Massonnens;506;425;0;1;10;6;5;0;40;0;0;0
......2087 M?zi?res (FR);1015;880;0;0;17;0;7;0;75;2;0;6
......2089 Montet (Gl?ne);388;337;0;0;18;1;7;0;10;5;0;0
......2096 Romont (FR);5108;3069;1;12;126;6;48;0;1156;38;58;123
......2097 Rue;1470;1295;0;10;55;0;18;1;50;9;0;2
......2099 Siviriez;2230;1913;0;5;36;1;7;0;186;7;6;16
......2102 Ursy;2827;2424;0;7;67;8;29;1;184;14;0;36
......2111 Villaz-Saint-Pierre;1186;980;0;3;16;1;8;0;99;2;2;2
......2113 Vuisternens-devant-Romont;2183;2011;0;3;46;1;4;0;77;12;0;1
......2114 Villorsonnens;1295;1187;0;5;26;0;7;0;32;0;0;0
......2115 Torny;883;805;0;2;21;0;4;0;18;2;0;10
......2116 La Folliaz;948;883;0;1;21;0;1;0;24;5;0;0
>> District de la Gruy?re;51580;38798;8;342;2125;141;571;31;5444;499;201;850
......2121 Haut-Intyamon;1488;1244;1;14;54;2;17;1;74;14;0;13
......2122 Pont-en-Ogoz;1749;1565;1;6;70;6;8;0;48;3;0;4
......2123 Botterens;529;457;0;1;35;1;1;0;23;4;0;0
......2124 Broc;2514;1745;2;5;68;4;27;2;455;38;2;84
......2125 Bulle;21464;13470;4;136;985;55;345;18;3607;302;174;645
......2128 Ch?tel-sur-Montsalvens;262;191;0;13;28;0;2;4;15;1;0;0
......2129 Corbi?res;821;716;0;2;51;3;7;0;13;3;0;2
......2130 Cr?suz;324;270;0;15;14;4;0;0;8;0;0;0
......2131 Echarlens;812;687;0;2;25;0;10;0;50;7;0;1
......2134 Grandvillard;806;710;0;2;43;1;1;0;24;2;4;0
......2135 Gruy?res;2090;1689;0;17;101;5;21;0;148;22;0;6
......2137 Hauteville;615;553;0;2;18;1;2;0;20;4;0;0
......2138 Jaun;664;642;0;8;4;4;0;0;1;1;0;0
......2140 Marsens;1797;1508;0;16;80;1;8;0;113;7;2;8
......2143 Morlon;585;523;0;1;16;2;2;0;13;0;7;0
......2145 Le P?quier (FR);1101;944;0;11;36;7;4;0;59;5;6;5
......2147 Pont-la-Ville;591;518;0;0;27;2;6;1;21;1;0;0
......2148 Riaz;2348;1946;0;20;91;0;26;0;137;16;1;19
......2149 La Roche;1558;1321;0;12;53;11;13;0;115;5;0;1
......2152 S?les;1444;1320;0;4;32;0;6;0;50;0;0;10
......2153 Sorens;1066;924;0;7;31;2;5;0;62;6;0;6
......2155 Vaulruz;1049;911;0;4;24;5;4;1;65;5;0;11
......2160 Vuadens;2277;1925;0;7;71;6;29;1;157;13;0;12
......2162 Bas-Intyamon;1242;1029;0;11;55;4;15;1;51;18;1;20
......2163 Val-de-Charmey;2384;1990;0;26;113;15;12;2;115;22;4;3
>> District de la Sarine;103330;75200;37;1043;3084;251;2103;114;9582;1163;1289;1250
......2171 Arconciel;802;714;0;3;30;1;1;0;28;5;0;0
......2172 Autafond;68;68;0;0;0;0;0;0;0;0;0;0
......2173 Autigny;774;676;0;2;24;0;7;0;29;10;1;5
......2174 Avry;1859;1505;4;6;60;5;36;0;124;7;1;9
......2175 Belfaux;3114;2245;0;9;107;6;46;2;370;37;13;18
......2177 Ch?nens;803;664;0;0;22;2;12;0;58;7;1;19
......2179 Ch?sopelloz;125;107;0;0;5;4;3;0;2;0;0;0
......2183 Corminboeuf;2239;2018;0;7;47;1;28;1;69;10;5;2
......2184 Corpataux-Magnedens;1296;1132;0;4;32;3;15;1;71;7;1;2
......2185 Corserey;394;356;0;0;9;0;3;0;13;3;0;0
......2186 Cottens (FR);1441;1214;0;5;57;0;20;0;72;14;0;21
......2189 Ependes (FR);1105;965;0;1;42;0;17;0;55;4;1;0
......2192 Farvagny;2215;1889;0;1;74;5;21;0;141;5;2;1
......2194 Ferpicloz;275;250;0;6;0;0;7;0;12;0;0;0
......2196 Fribourg;38288;24123;17;648;1344;102;1000;70;4215;637;795;692
......2197 Givisiez;3118;2064;1;30;76;4;103;3;510;32;58;15
......2198 Granges-Paccot;3170;2212;0;28;77;4;99;2;397;29;41;41
......2200 Grolley;1911;1525;0;13;56;3;55;0;158;13;4;28
......2206 Marly;8095;5863;10;86;137;20;144;15;840;66;126;119
......2208 Matran;1564;1307;0;7;27;3;56;3;88;11;5;10
......2211 Neyruz (FR);2504;2128;0;7;68;15;27;2;119;22;5;25
......2213 Nor?az;623;584;0;0;9;0;2;0;17;0;0;1
......2216 Pierrafortscha;141;127;0;0;0;0;0;0;4;0;0;0
......2217 Ponthaux;690;636;0;1;5;0;8;0;25;1;0;0
......2220 Le Mouret;3104;2695;0;22;66;11;37;0;173;28;2;2
......2221 Prez-vers-Nor?az;964;815;0;4;36;0;27;0;51;12;0;0
......2222 Rossens (FR);1293;1154;0;2;34;3;14;0;53;6;0;1
......2223 Le Gl?be;1246;1131;0;6;29;1;7;0;47;0;0;6
......2225 Sen?des;152;143;0;0;3;0;0;0;3;3;0;0
......2226 Treyvaux;1441;1278;0;1;37;0;8;0;97;2;0;0
......2228 Villars-sur-Gl?ne;12137;8152;5;125;366;36;212;13;1406;151;224;204
......2230 Villarsel-sur-Marly;83;62;0;0;5;0;3;0;9;0;0;0
......2231 Vuisternens-en-Ogoz;975;733;0;3;36;1;10;0;155;5;1;6
......2233 Hauterive (FR);2407;2088;0;10;67;6;36;1;95;26;1;17
......2234 La Brillaz;1863;1654;0;3;56;10;28;1;47;8;1;4
......2235 La Sonnaz;1051;923;0;3;41;5;11;0;29;2;1;2
>> Bezirk See / District du Lac;34901;27928;6;700;415;59;432;81;2725;241;78;449
......2243 Barber?che;515;442;0;3;15;0;12;0;23;0;0;0
......2250 Courgevaux;1421;1022;1;25;24;4;53;3;123;18;3;43
......2251 Courlevon;305;278;0;2;6;2;4;1;11;0;0;0
......2254 Courtepin;3634;1979;2;37;61;4;66;3;1078;62;23;74
......2257 Cressier (FR);896;677;0;21;21;2;14;1;101;9;5;20
......2258 Fr?schels;455;418;0;3;0;0;2;3;12;3;0;0
......2259 Galmiz;647;539;0;9;8;0;10;0;65;3;0;5
......2260 Gempenach;301;276;0;6;1;1;0;0;3;0;0;0
......2261 Greng;174;157;0;5;2;1;0;3;2;0;0;2
......2262 Gurmels;4070;3742;0;83;22;5;31;10;35;9;0;53
......2264 Jeuss;422;392;0;6;0;4;0;0;5;0;0;0
......2265 Kerzers;4828;3691;0;98;15;7;47;6;401;36;10;131
......2266 Kleinb?singen;590;558;0;12;3;1;6;0;1;1;0;0
......2270 Lurtigen;183;181;0;0;0;0;0;0;0;0;0;0
......2271 Meyriez;599;555;0;20;0;0;8;4;4;1;0;0
......2272 Misery-Courtion;1763;1383;1;5;64;9;50;2;153;19;1;15
......2274 Muntelier;953;867;0;37;10;1;5;1;12;3;1;0
......2275 Murten;6545;5172;1;220;50;9;87;18;302;50;34;86
......2276 Ried bei Kerzers;1093;886;0;9;0;0;6;1;71;2;0;14
......2277 Salvenach;551;495;0;16;4;0;0;5;15;0;1;0
......2278 Ulmiz;405;388;1;12;0;0;2;1;1;0;0;0
......2279 Villarepos;604;536;0;7;11;1;4;0;20;3;0;0
......2280 Bas-Vully;2098;1667;0;25;50;8;17;13;214;20;0;6
......2281 Haut-Vully;1397;1221;0;31;34;0;6;5;63;2;0;0
......2283 Wallenried;452;406;0;8;14;0;2;1;10;0;0;0
>> Bezirk Sense;42950;38713;4;844;138;31;311;90;425;73;56;603
......2291 Alterswil;2034;1918;0;32;2;2;3;5;1;0;0;31
......2292 Br?nisried;649;628;0;9;0;0;0;1;4;0;0;0
......2293 D?dingen;7679;6756;0;204;28;9;40;25;76;9;16;140
......2294 Giffers;1528;1399;0;25;15;0;3;3;32;1;2;10
......2295 B?singen;3389;3106;0;53;6;2;94;1;33;8;2;23
......2296 Heitenried;1377;1333;0;20;1;1;1;1;2;0;0;0
......2298 Oberschrot;1162;1114;0;9;2;1;1;7;5;3;0;2
......2299 Plaffeien;1978;1793;1;38;8;3;5;8;35;0;0;10
......2300 Plasselb;1048;928;0;25;10;1;2;2;15;1;1;8
......2301 Rechthalten;1095;1066;0;9;1;0;1;1;0;4;0;0
......2302 St. Antoni;1936;1843;0;39;4;0;4;0;11;3;0;7
......2303 St. Silvester;966;913;0;14;4;1;2;2;7;3;0;0
......2304 St. Ursen;1294;1209;0;24;2;0;8;1;5;6;0;0
......2305 Schmitten (FR);4055;3625;0;82;13;1;31;8;15;5;11;74
......2306 Tafers;3253;2795;1;77;26;4;23;14;54;9;7;75
......2307 Tentlingen;1282;1166;1;17;4;0;6;3;35;5;0;12
......2308 Ueberstorf;2376;2300;0;42;0;0;8;2;3;1;0;0
......2309 W?nnewil-Flamatt;5444;4423;1;122;12;5;79;6;92;15;17;211
......2310 Zumholz;405;398;0;3;0;1;0;0;0;0;0;0
>> District de la Veveyse;17664;14274;0;75;824;88;268;7;1245;136;11;103
......2321 Attalens;3189;2691;0;7;148;34;60;1;121;23;0;1
......2323 Bossonnens;1462;1183;0;4;48;3;37;0;88;16;0;5
......2325 Ch?tel-Saint-Denis;6363;4627;0;43;348;29;111;3;767;69;11;52
......2328 Granges (Veveyse);840;718;0;10;28;15;7;1;41;3;0;1
......2333 Remaufens;1042;858;0;5;48;5;14;0;70;2;0;11
......2335 Saint-Martin (FR);1042;919;0;2;63;0;2;0;15;3;0;17
......2336 Semsales;1398;1213;0;1;57;1;11;2;72;4;0;5
......2337 Le Flon;1171;1074;0;1;39;0;14;0;12;8;0;2
......2338 La Verrerie;1157;991;0;2;45;1;12;0;59;8;0;9
- Solothurn;263719;208749;49;8892;449;434;10256;872;1732;1149;5230;5009
>> Bezirk G?u;19960;15890;3;713;20;9;388;63;153;42;371;686
......2401 Egerkingen;3399;2488;0;134;4;1;90;19;15;8;104;208
......2402 H?rkingen;1534;1295;0;70;2;0;29;8;11;3;8;26
......2403 Kestenholz;1755;1641;0;32;1;0;19;3;1;2;7;0
......2404 Neuendorf;2021;1850;2;56;0;0;11;4;11;3;4;16
......2405 Niederbuchsiten;1042;918;0;38;1;5;23;2;3;3;6;14
......2406 Oberbuchsiten;2124;1634;0;84;0;0;57;8;29;8;53;82
......2407 Oensingen;6041;4207;1;240;12;2;143;14;77;15;188;307
......2408 Wolfwil;2044;1857;0;59;0;1;16;5;6;0;1;33
>> Bezirk Thal;14281;11697;2;385;14;7;268;25;260;19;206;293
......2421 Aedermannsdorf;546;525;0;12;0;1;0;1;0;0;0;0
......2422 Balsthal;5923;4060;1;162;9;1;196;16;233;18;200;251
......2423 G?nsbrunnen;93;90;0;2;0;0;0;0;1;0;0;0
......2424 Herbetswil;540;494;0;23;1;0;7;0;2;0;0;0
......2425 Holderbank (SO);621;554;0;29;0;1;6;0;2;0;0;1
......2426 Laupersdorf;1711;1550;0;37;2;0;13;5;14;1;4;16
......2427 Matzendorf;1282;1195;0;20;1;1;11;0;0;0;0;4
......2428 M?mliswil-Ramiswil;2436;2223;1;57;1;0;21;1;8;0;2;15
......2429 Welschenrohr;1129;1006;0;43;0;3;14;2;0;0;0;6
>> Bezirk Bucheggberg;7630;7179;0;213;5;2;36;15;2;10;0;0
......2445 Biezwil;330;309;0;3;0;1;3;2;0;0;0;0
......2455 L?terkofen-Ichertswil;743;689;0;19;0;0;0;2;0;0;0;0
......2456 L?terswil-G?chliwil;319;300;0;8;0;0;2;0;0;1;0;0
......2457 Messen;1457;1399;0;18;4;0;6;0;0;2;0;0
......2461 Schnottwil;1051;1001;0;19;0;0;8;2;1;0;0;0
......2463 Unterramsern;211;203;0;3;0;1;1;0;0;0;0;0
......2464 L?sslingen-Nennigkofen;1023;891;0;99;0;0;7;7;1;0;0;0
......2465 Buchegg;2496;2387;0;44;1;0;9;2;0;7;0;0
>> Bezirk Dorneck;20179;16733;2;1165;91;217;430;96;52;114;71;65
......2471 B?ttwil;1189;1016;0;45;3;4;38;6;2;6;10;3
......2472 B?ren (SO);955;838;2;30;0;7;16;2;1;6;9;5
......2473 Dornach;6505;4886;0;639;38;42;180;44;25;51;28;16
......2474 Gempen;875;704;0;67;7;12;8;8;4;3;0;0
......2475 Hochwald;1286;1150;0;45;2;16;22;9;1;2;0;0
......2476 Hofstetten-Fl?h;3186;2656;0;118;13;84;58;12;9;14;7;22
......2477 Metzerlen-Mariastein;923;837;0;30;3;2;6;2;1;0;0;3
......2478 Nuglar-St. Pantaleon;1488;1363;0;56;2;5;16;5;3;2;6;0
......2479 Rodersdorf;1288;1152;0;49;13;15;9;3;0;7;4;0
......2480 Seewen;998;907;0;27;6;12;6;0;5;6;1;7
......2481 Witterswil;1486;1224;0;59;4;18;71;5;1;17;6;9
>> Bezirk G?sgen;23861;18597;10;869;26;21;1140;99;71;127;438;645
......2491 Hauenstein-Ifenthal;316;287;0;22;0;0;2;0;0;0;0;0
......2492 Kienberg;524;490;0;30;0;0;0;2;0;0;0;0
......2493 Lostorf;3888;3482;3;147;5;6;110;20;10;11;5;18
......2495 Niederg?sgen;3794;2748;0;122;2;0;253;16;6;35;90;144
......2497 Oberg?sgen;2192;1646;0;82;2;0;112;6;20;3;29;83
......2498 Rohr (SO);90;81;0;4;0;1;1;1;0;0;0;0
......2499 St?sslingen;1043;975;0;24;0;2;16;3;1;0;1;4
......2500 Trimbach;6434;4124;3;221;15;7;492;34;20;55;290;294
......2501 Winznau;1829;1551;0;71;1;0;26;7;10;12;10;35
......2502 Wisen (SO);410;383;0;19;0;0;4;0;0;0;1;0
......2503 Erlinsbach (SO);3341;2830;4;127;1;5;124;10;4;11;12;67
>> Bezirk Wasseramt;49714;38377;6;1278;65;28;2459;127;386;200;1399;981
......2511 Aeschi (SO);1242;1175;0;37;0;0;5;1;0;2;2;0
......2513 Biberist;8261;6426;2;217;4;5;380;28;66;40;186;200
......2514 Bolken;575;543;0;15;1;0;13;1;0;0;1;0
......2516 Deitingen;2250;2030;0;42;2;0;46;4;1;4;7;14
......2517 Derendingen;6267;4470;0;209;11;2;537;21;55;27;198;124
......2518 Etziken;778;732;0;1;0;0;14;1;8;0;0;0
......2519 Gerlafingen;4913;3097;2;124;3;2;431;12;13;17;313;277
......2520 Halten;866;800;0;16;3;0;17;0;0;4;1;0
......2523 Horriwil;864;819;0;9;0;0;13;2;0;0;5;0
......2524 H?niken;85;84;0;0;0;0;0;0;0;0;0;0
......2525 Kriegstetten;1272;1150;0;39;3;0;24;3;1;3;3;3
......2526 Lohn-Ammannsegg;2659;2429;1;74;6;5;71;3;7;6;0;0
......2527 Luterbach;3394;2866;0;79;10;1;121;6;5;8;68;28
......2528 Obergerlafingen;1121;1037;0;21;1;0;19;3;2;5;1;5
......2529 Oekingen;812;748;0;21;0;0;12;1;11;1;0;5
......2530 Recherswil;1777;1613;0;32;4;0;41;1;1;3;7;16
......2532 Subingen;3057;2532;0;74;2;0;97;3;37;17;67;43
......2534 Zuchwil;8772;5113;1;262;15;13;613;33;168;63;540;266
......2535 Drei H?fe;749;713;0;6;0;0;5;4;11;0;0;0
>> Bezirk Lebern;44431;35025;9;1439;88;27;2125;131;278;211;874;604
......2541 Balm bei G?nsberg;196;184;0;3;0;0;0;2;0;0;1;0
......2542 Bellach;5165;3772;0;104;10;2;278;17;54;35;234;80
......2543 Bettlach;4855;4050;0;118;6;2;216;11;35;16;90;34
......2544 Feldbrunnen-St. Niklaus;969;881;0;28;5;0;14;5;0;2;0;0
......2545 Flumenthal;967;869;0;29;0;3;11;2;7;0;9;5
......2546 Grenchen;16480;11109;9;644;58;7;1249;61;132;111;460;421
......2547 G?nsberg;1151;1057;0;54;1;1;14;5;2;0;0;0
......2548 Hubersdorf;718;668;0;20;0;2;3;0;2;2;3;6
......2549 Kammersrohr;33;32;0;1;0;0;0;0;0;0;0;0
......2550 Langendorf;3786;3258;0;125;3;1;142;7;5;14;37;14
......2551 Lommiswil;1440;1354;0;37;1;1;19;3;2;3;0;4
......2553 Oberdorf (SO);1659;1549;0;52;0;0;22;1;4;0;0;0
......2554 Riedholz;2302;2050;0;101;0;2;35;3;8;19;7;13
......2555 R?ttenen;1489;1401;0;32;0;0;11;0;1;0;5;4
......2556 Selzach;3221;2791;0;91;4;6;111;14;26;9;28;23
>> Bezirk Olten;52906;39706;17;1812;78;62;2650;244;234;253;1412;1434
......2571 Boningen;732;666;0;24;0;0;12;1;0;1;1;4
......2572 D?niken;2774;2263;4;62;2;2;91;13;10;7;69;48
......2573 Dulliken;4855;2818;4;133;12;2;499;25;8;15;375;310
......2574 Eppenberg-W?schnau;324;223;0;21;0;0;7;0;16;0;7;6
......2575 Fulenbach;1698;1519;0;52;0;1;24;5;5;9;17;18
......2576 Gretzenbach;2577;2053;0;65;2;1;188;11;2;8;45;62
......2578 Gunzgen;1663;1445;0;72;1;2;33;9;15;4;23;11
......2579 H?gendorf;4784;3778;6;175;6;2;141;20;16;15;61;175
......2580 Kappel (SO);3054;2515;0;152;3;6;62;6;8;3;10;85
......2581 Olten;17350;12523;2;553;39;30;831;90;55;112;531;414
......2582 Rickenbach (SO);867;759;0;24;2;0;9;5;4;2;1;3
......2583 Sch?nenwerd;4837;3069;0;192;2;13;545;25;53;51;156;212
......2584 Starrkirch-Wil;1699;1463;0;43;2;1;57;4;9;6;28;9
......2585 Walterswil (SO);713;658;0;22;0;0;9;2;0;0;2;0
......2586 Wangen bei Olten;4979;3954;1;222;7;2;142;28;33;20;86;77
>> Bezirk Solothurn;16545;13168;0;651;36;28;512;45;49;78;406;150
......2601 Solothurn;16545;13168;0;651;36;28;512;45;49;78;406;150
>> Bezirk Thierstein;14212;12377;0;367;26;33;248;27;247;95;53;151
......2611 B?rschwil;821;756;0;29;7;0;0;0;1;1;1;1
......2612 Beinwil (SO);277;263;0;5;0;0;0;0;0;0;0;0
......2613 Breitenbach;3666;2739;0;98;6;12;161;9;193;48;41;120
......2614 B?sserach;2142;1902;0;34;5;1;30;4;27;20;1;16
......2615 Erschwil;890;817;0;20;0;3;0;1;12;2;0;6
......2616 Fehren;618;595;0;13;3;0;1;1;0;0;0;0
......2617 Grindel;484;444;0;9;1;0;3;0;0;9;1;1
......2618 Himmelried;919;812;0;45;1;6;5;3;7;0;2;1
......2619 Kleinl?tzel;1259;1147;0;35;1;0;22;3;1;5;4;0
......2620 Meltingen;653;614;0;10;1;0;5;1;2;3;1;5
......2621 Nunningen;1849;1716;0;38;1;11;14;2;2;4;1;1
......2622 Zullwil;634;572;0;31;0;0;7;3;2;3;1;0
- Basel-Stadt;190580;124274;54;15077;1710;2116;8020;1144;3228;3436;6510;2215
>> Kanton Basel-Stadt;190580;124274;54;15077;1710;2116;8020;1144;3228;3436;6510;2215
......2701 Basel;168620;107565;53;12638;1624;1852;7499;1022;3166;3273;6286;2152
......2702 Bettingen;1186;867;0;217;1;16;15;5;0;6;1;1
......2703 Riehen;20774;15842;1;2222;85;248;506;117;62;157;223;62
- Basel-Landschaft;281301;221378;27;11738;992;1861;11162;1190;1946;2153;5220;3379
>> Bezirk Arlesheim;152563;119516;14;6922;729;1557;6160;708;790;1412;2480;779
......2761 Aesch (BL);10155;7787;0;344;31;84;700;65;39;59;208;97
......2762 Allschwil;20411;15341;2;1206;133;205;816;113;140;294;267;73
......2763 Arlesheim;9136;7298;0;583;38;61;279;59;101;46;120;13
......2764 Biel-Benken;3319;2883;0;105;11;70;65;8;3;23;1;0
......2765 Binningen;15092;11545;1;809;122;159;557;67;81;151;200;58
......2766 Birsfelden;10313;7525;0;557;31;25;561;38;84;154;310;69
......2767 Bottmingen;6327;4815;1;416;70;109;150;34;74;67;34;19
......2768 Ettingen;4926;4143;0;189;17;44;166;11;25;27;35;59
......2769 M?nchenstein;11882;9013;0;474;31;62;574;40;58;106;346;112
......2770 Muttenz;17538;14149;5;631;51;103;839;70;66;123;368;69
......2771 Oberwil (BL);10917;8607;0;509;50;184;254;65;30;121;131;88
......2772 Pfeffingen;2334;2016;0;88;7;40;34;9;2;3;1;0
......2773 Reinach (BL);18810;14851;1;646;62;250;814;79;34;164;385;68
......2774 Sch?nenbuch;1417;1250;0;52;13;11;34;4;0;11;1;0
......2775 Therwil;9986;8293;4;313;62;150;317;46;53;63;73;54
>> Bezirk Laufen;19468;16056;5;722;57;57;612;59;97;200;217;212
......2781 Blauen;709;657;0;18;0;3;6;1;0;2;0;0
......2782 Brislach;1611;1449;0;32;3;0;33;3;5;6;10;6
......2783 Burg im Leimental;265;241;0;14;0;1;3;0;0;0;0;0
......2784 Dittingen;752;659;0;33;1;0;11;4;3;12;1;5
......2785 Duggingen;1470;1205;1;83;6;16;35;6;1;6;14;6
......2786 Grellingen;1810;1308;0;113;9;18;67;9;20;9;68;56
......2787 Laufen;5491;4154;0;156;13;11;323;7;45;121;72;82
......2788 Liesberg;1162;1041;0;41;8;4;13;1;3;3;6;12
......2789 Nenzlingen;417;384;0;13;1;1;3;7;1;0;1;1
......2790 Roggenburg;291;266;0;14;0;0;0;3;0;0;0;0
......2791 R?schenz;1840;1674;0;53;3;1;23;3;1;16;0;11
......2792 Wahlen;1408;1271;0;35;4;2;15;6;3;16;10;4
......2793 Zwingen;2242;1747;4;117;9;0;80;9;15;9;35;29
>> Bezirk Liestal;58648;42580;6;2463;130;145;3028;260;718;385;2112;1631
......2821 Arisdorf;1615;1463;1;49;0;2;36;2;8;8;0;4
......2822 Augst;836;702;0;36;1;4;18;3;4;4;10;12
......2823 Bubendorf;4396;3795;1;131;10;13;150;11;5;13;20;74
......2824 Frenkendorf;6450;4456;1;282;8;26;397;30;118;38;252;183
......2825 F?llinsdorf;4391;3194;0;170;7;10;196;25;61;23;178;107
......2826 Giebenach;1060;843;0;61;0;1;62;4;4;4;11;14
......2827 Hersberg;338;299;0;25;0;0;0;1;0;0;0;0
......2828 Lausen;5044;3694;1;185;20;13;403;17;61;34;178;132
......2829 Liestal;13956;10198;0;657;30;40;645;98;167;81;394;433
......2830 Lupsingen;1400;1280;0;57;2;6;16;5;4;0;0;0
......2831 Pratteln;15601;9407;2;664;43;27;1066;55;280;179;1063;669
......2832 Ramlinsburg;701;618;0;46;3;0;9;0;0;1;0;0
......2833 Seltisberg;1309;1222;0;33;5;3;16;1;0;0;3;1
......2834 Ziefen;1551;1409;0;67;1;0;14;8;6;0;3;2
>> Bezirk Sissach;34755;29786;2;1107;57;73;948;118;270;118;278;502
......2841 Anwil;578;539;0;19;0;1;6;1;0;1;0;0
......2842 B?ckten;814;723;0;16;0;1;24;2;3;2;7;9
......2843 Buckten;698;583;0;33;1;0;11;7;13;5;0;0
......2844 Buus;971;907;0;35;2;0;1;0;2;0;0;15
......2845 Diepflingen;685;610;0;16;4;0;19;1;1;0;8;0
......2846 Gelterkinden;5871;4812;0;155;12;7;215;21;53;28;106;146
......2847 H?felfingen;270;245;0;12;0;1;4;1;1;3;1;1
......2848 Hemmiken;260;245;0;8;0;0;2;1;0;0;0;2
......2849 Itingen;2069;1670;0;74;0;7;117;8;16;12;29;10
......2850 K?nerkinden;497;454;0;13;3;1;4;2;0;0;2;0
......2851 Kilchberg (BL);157;147;0;5;0;0;1;0;0;0;0;0
......2852 L?ufelfingen;1292;1148;0;43;1;1;16;4;21;5;1;30
......2853 Maisprach;929;810;0;58;2;11;7;2;3;1;5;1
......2854 Nusshof;264;234;0;14;0;1;1;6;0;1;0;0
......2855 Oltingen;477;446;0;12;0;0;1;2;0;0;1;4
......2856 Ormalingen;2062;1822;0;71;2;3;51;2;10;3;10;22
......2857 Rickenbach (BL);564;522;0;15;1;0;12;0;0;4;0;1
......2858 Rothenfluh;782;728;0;22;2;7;3;3;1;0;0;1
......2859 R?mlingen;387;289;0;18;4;0;9;1;5;7;0;17
......2860 R?nenberg;775;733;0;9;0;0;1;4;10;1;2;0
......2861 Sissach;6469;5411;2;226;12;17;221;27;100;23;38;94
......2862 Tecknau;860;611;0;36;0;0;21;1;1;3;19;60
......2863 Tenniken;893;808;0;34;1;1;10;2;0;6;2;13
......2864 Th?rnen;1393;1122;0;34;3;3;65;10;3;2;10;40
......2865 Wenslingen;730;684;0;25;0;0;2;0;1;4;0;0
......2866 Wintersingen;615;566;0;15;2;2;12;2;0;0;0;1
......2867 Wittinsburg;430;405;0;12;0;0;3;0;0;1;4;0
......2868 Zeglingen;475;447;0;9;0;1;4;1;0;0;0;9
......2869 Zunzgen;2488;2065;0;68;5;8;105;7;26;6;33;26
>> Bezirk Waldenburg;15867;13440;0;524;19;29;414;45;71;38;133;255
......2881 Arboldswil;554;524;0;15;0;1;0;1;2;1;2;0
......2882 Bennwil;637;602;0;23;0;0;3;0;0;0;0;0
......2883 Bretzwil;760;698;0;24;0;2;1;1;7;3;5;5
......2884 Diegten;1633;1467;0;43;1;0;42;4;7;1;10;12
......2885 Eptingen;534;488;0;30;2;1;0;0;6;0;1;0
......2886 H?lstein;2382;2000;0;79;6;6;68;9;15;2;15;62
